Ciudad,Estado_Geo,Anio,Mes,Lat,Lon
Heroica Ciudad De Huajuapan De León,Oaxaca,2025,10,23.737557471355213,-102.40640754644595
Matamoros,Tamaulipas,2025,8,23.98721274257633,-102.32089768085551
León De Los Aldama,Guanajuato,2025,8,20.991214925161948,-100.96822876139267
La Paz,Baja California Sur,2025,10,23.219594245938303,-102.50155780107094
San Luis Potosí,San Luis Potosí,2025,11,23.813244787222995,-102.91307971191257
Ecatepec De Morelos,México,2025,9,19.616085048616895,-99.61859345818145
Cuautitlán Izcalli,México,2025,9,19.416577197569495,-99.56885888197911
Torreón,Coahuila De Zaragoza,2025,10,23.87096717995456,-102.25456052581568
Juárez,Nuevo León,2025,12,25.585995596364388,-100.06454045377032
Jitotol,Chiapas,2025,11,23.622732829381995,-102.87241969720444
Orizaba,Veracruz,2025,8,23.52754101835855,-102.71622409420128
Zapopan,Jalisco,2025,12,20.184919126744095,-103.48631770360137
Chimalhuacán,México,2025,10,18.963191426993305,-99.5097827586684
Iztapalapa,Ciudad de México,2025,11,18.964029185686734,-99.0624216953311
Tlajomulco De Zúñiga,Jalisco,2025,8,20.795910411263783,-103.49330327410216
Durango,Durango,2025,11,23.414355981076326,-102.01348475120702
Puebla,Puebla,2025,10,23.608570691164704,-102.39422518064312
Zapopan,Jalisco,2025,11,21.067066473926094,-103.61217320826401
Camargo,Chihuahua,2025,12,23.349292229148876,-102.8982175273796
Ecatepec De Morelos,México,2025,11,19.26568292303563,-100.00284086081567
San Luis Potosí,San Luis Potosí,2025,8,23.85555113854305,-102.75404227161549
Santa María Del Río,San Luis Potosí,2025,9,23.328798165491623,-102.83931862674045
Villagrán,Guanajuato,2025,10,20.59597990982879,-101.5708329759487
Guaymas,Sonora,2025,11,23.38975145291377,-102.71490483130616
Mexicali,Baja California,2025,11,30.501821287254003,-115.61042640470525
Durango,Durango,2025,10,24.029697652342573,-102.10323457537358
Ecatepec De Morelos,México,2025,9,19.663420379564418,-100.07546625433835
Comalcalco,Tabasco,2025,12,23.733403756510423,-102.47548861042975
Cuajinicuilapa,Guerrero,2025,8,23.971460590187718,-102.58960317301033
Ecatepec De Morelos,México,2025,12,19.658972076899115,-99.17332138309139
Cocotitlán,México,2025,8,19.041870058886037,-100.04366109783194
Teloloapan,Guerrero,2025,11,23.99255899848998,-102.60214440095426
Los Reyes,Michoacán,2025,10,19.605842241915653,-101.23732956672463
Nacajuca,Tabasco,2025,8,23.907440155164064,-102.13449287410602
Tijuana,Baja California,2025,10,31.236691299923493,-114.96672792905072
Iztapalapa,Ciudad de México,2025,10,19.250603474971864,-99.37529717295506
Huixquilucan,México,2025,11,18.965351924527678,-99.98481241260993
